cifname,value1,value2
T3_303_NH2_COOH_H_H-L2_211_CHO_H_H-HCB_A-AA,2.081,0.0869468726
T3_303_NH2_CHO_H_H-L2_209_CHO_H_H-HCB_A-AA,3.03,0.3340152138
T3_303_NH2_CN_H_H-L2_211_CHO_H_H-HCB_A-AA,1.743,0.1194486704
T3_303_NH2_H_H_H-L2_211_CHO_H_H-HCB_A-AA,1.801,0.1451372871
T3_303_NH2_F_H_H-L2_215_CHO_H_H-HCB_A-AA,1.534,0.1453362598
T3_303_NH2_F_H_H-L2_213_CHO_H_H-HCB_A-AA,1.974,0.0916920826
T3_303_NH2_OCOCH3_H_H-L2_207_CHO_H_H-HCB_A-AA,4.44,0.3398474846
T3_303_NH2_EPO_H_H-L2_217_CHO_H_H-HCB_A-AA,3.6,0.2385180168
T3_303_NH2_NO_H_H-L2_205_CHO_H_H-HCB_A-AA,2.157,0.2446820004
T3_303_NH2_OMe_H_H-L2_207_CHO_H_H-HCB_A-AA,3.303,0.1772949292
T3_303_NH2_Br_H_H-L2_209_CHO_H_H-HCB_A-AA,2.66,0.2224267293
T3_303_NH2_H_H_H-L2_209_CHO_H_H-HCB_A-AA,2.701,0.2279618342
T3_303_NH2_EPO_H_H-L2_210_CHO_H_H-HCB_A-AA,2.39,0.0993171953
T3_303_NH2_Br_H_H-L2_210_CHO_H_H-HCB_A-AA,1.718,0.2082277581
T3_303_NH2_OCOCH3_H_H-L2_205_CHO_H_H-HCB_A-AA,4.339,0.4608369031
T3_303_NH2_H_H_H-L2_201_CHO_H_H-HCB_A-AA,2.329,0.151374748
T3_303_NH2_OCOCH3_H_H-L2_213_CHO_H_H-HCB_A-AA,4.418,0.2557688958
T3_303_NH2_F_H_H-L2_202_CHO_H_H-HCB_A-AA,1.628,0.091080725
T3_303_NH2_EPO_H_H-L2_208_CHO_H_H-HCB_A-AA,3.662,0.1855252951
T3_303_NH2_OH_H_H-L2_208_CHO_H_H-HCB_A-AA,2.384,0.3026794895
T3_303_NH2_CHS_H_H-L2_209_CHO_H_H-HCB_A-AA,3.097,0.1568869853
T3_303_NH2_OMe_H_H-L2_208_CHO_H_H-HCB_A-AA,3.222,0.4089915761
T3_303_NH2_I_H_H-L2_205_CHO_H_H-HCB_A-AA,2.092,0.2104823171
T3_303_NH2_NH2_H_H-L2_203_CHO_H_H-HCB_A-AA,2.382,0.0768556042
T3_303_NH2_CHO_H_H-L2_207_CHO_H_H-HCB_A-AA,2.656,0.163135768
T3_303_NH2_Cl_H_H-L2_203_CHO_H_H-HCB_A-AA,2.464,0.2230494839
T3_303_NH2_CHO_H_H-L2_213_CHO_H_H-HCB_A-AA,2.503,0.2085513302
T3_303_NH2_CHO_H_H-L2_215_CHO_H_H-HCB_A-AA,1.707,0.1462085231
T3_303_NH2_NO2_H_H-L2_212_CHO_H_H-HCB_A-AA,2.864,0.1144910712
T3_303_NH2_I_H_H-L2_203_CHO_H_H-HCB_A-AA,2.353,0.2166614204
T3_303_NH2_CN_H_H-L2_213_CHO_H_H-HCB_A-AA,2.109,0.1494535083
T3_303_NH2_CH3_H_H-L2_202_CHO_H_H-HCB_A-AA,2.328,0.1008188779
T3_303_NH2_EPO_H_H-L2_211_CHO_H_H-HCB_A-AA,2.66,0.1222701167
T3_303_NH2_CHO_H_H-L2_208_CHO_H_H-HCB_A-AA,2.545,0.1755147816
T3_303_NH2_I_H_H-L2_213_CHO_H_H-HCB_A-AA,1.986,0.0861678628
T3_303_NH2_OMe_H_H-L2_204_CHO-HCB_A-AA,1.593,0.1967633813
T3_303_NH2_Br_H_H-L2_206_CHO_H_H-HCB_A-AA,1.936,0.0953991292
T3_303_NH2_Br_H_H-L2_207_CHO_H_H-HCB_A-AA,2.261,0.1671603846
T3_303_NH2_OCOCH3_H_H-L2_208_CHO_H_H-HCB_A-AA,4.727,0.271835468
T3_303_NH2_SH_H_H-L2_210_CHO_H_H-HCB_A-AA,1.815,0.1326248345
T3_303_NH2_COOH_H_H-L2_216_CHO_H_H-HCB_A-AA,1.809,0.0670563472
T3_303_NH2_CHS_H_H-L2_212_CHO_H_H-HCB_A-AA,2.999,0.1846300884
T3_303_NH2_SH_H_H-L2_205_CHO_H_H-HCB_A-AA,2.423,0.112213598
T3_303_NH2_SO2H_H_H-L2_216_CHO_H_H-HCB_A-AA,1.838,0.2577572431
T3_303_NH2_COOH_H_H-L2_217_CHO_H_H-HCB_A-AA,3.18,0.3707805009
T3_303_NH2_CHS_H_H-L2_215_CHO_H_H-HCB_A-AA,1.921,0.1088850393
T3_303_NH2_NO_H_H-L2_201_CHO_H_H-HCB_A-AA,2.352,0.0509227672
T3_303_NH2_SH_H_H-L2_206_CHO_H_H-HCB_A-AA,2.075,0.1257653618
T3_303_NH2_SO2H_H_H-L2_210_CHO_H_H-HCB_A-AA,1.939,0.0621352893
T3_303_NH2_CH3_H_H-L2_213_CHO_H_H-HCB_A-AA,2.875,0.3404138975
T3_303_NH2_Br_H_H-L2_203_CHO_H_H-HCB_A-AA,2.492,0.1746675436
T3_303_NH2_CH3_H_H-L2_205_CHO_H_H-HCB_A-AA,2.88,0.129687043
T3_303_NH2_SH_H_H-L2_211_CHO_H_H-HCB_A-AA,1.879,0.0772057455
T3_303_NH2_SH_H_H-L2_207_CHO_H_H-HCB_A-AA,2.467,0.3300872952
T3_303_NH2_NO_H_H-L2_204_CHO-HCB_A-AA,1.085,0.1041462564
T3_303_NH2_EPO_H_H-L2_203_CHO_H_H-HCB_A-AA,3.503,0.4145126695
T3_303_NH2_OCOCH3_H_H-L2_201_CHO_H_H-HCB_A-AA,4.279,0.4528029579
T3_303_NH2_F_H_H-L2_210_CHO_H_H-HCB_A-AA,1.694,0.2137429868
T3_303_NH2_OCOCH3_H_H-L2_203_CHO_H_H-HCB_A-AA,4.344,0.3365263177
T3_303_NH2_NH2_H_H-L2_215_CHO_H_H-HCB_A-AA,1.621,0.2295619406
T3_303_NH2_CHS_H_H-L2_201_CHO_H_H-HCB_A-AA,2.711,0.1359531652
T3_303_NH2_F_H_H-L2_208_CHO_H_H-HCB_A-AA,2.246,0.1662937539
T3_303_NH2_SO2H_H_H-L2_206_CHO_H_H-HCB_A-AA,2.417,0.1743915812
T3_303_NH2_CHS_H_H-L2_210_CHO_H_H-HCB_A-AA,1.941,0.1135618137
T3_303_NH2_OH_H_H-L2_207_CHO_H_H-HCB_A-AA,2.33,0.159227256
T3_303_NH2_CN_H_H-L2_208_CHO_H_H-HCB_A-AA,2.12,0.2760340834
T3_303_NH2_I_H_H-L2_202_CHO_H_H-HCB_A-AA,1.611,0.1047365339
T3_303_NH2_I_H_H-L2_214_CHO_H_H-HCB_A-AA,1.526,0.1767943717
T3_303_NH2_OMe_H_H-L2_214_CHO_H_H-HCB_A-AA,2.168,0.1165093517
T3_303_NH2_OH_H_H-L2_216_CHO_H_H-HCB_A-AA,1.607,0.108459567
T3_303_NH2_CN_H_H-L2_210_CHO_H_H-HCB_A-AA,1.59,0.146957675
T3_303_NH2_CN_H_H-L2_204_CHO-HCB_A-AA,1.039,0.0716401648
T3_303_NH2_Cl_H_H-L2_215_CHO_H_H-HCB_A-AA,1.656,0.2217935402
T3_303_NH2_EPO_H_H-L2_209_CHO_H_H-HCB_A-AA,3.874,0.1051953836
T3_303_NH2_NO_H_H-L2_209_CHO_H_H-HCB_A-AA,2.557,0.2631568936
T3_303_NH2_H_H_H-L2_207_CHO_H_H-HCB_A-AA,2.245,0.258070971
T3_303_NH2_OMe_H_H-L2_217_CHO_H_H-HCB_A-AA,3.59,0.2012360675
T3_303_NH2_NO2_H_H-L2_211_CHO_H_H-HCB_A-AA,2.107,0.2419105218
T3_303_NH2_F_H_H-L2_206_CHO_H_H-HCB_A-AA,2.038,0.2012647861
T3_303_NH2_SH_H_H-L2_203_CHO_H_H-HCB_A-AA,2.643,0.2286032208
T3_303_NH2_H_H_H-L2_204_CHO-HCB_A-AA,1.126,0.0795409988
T3_303_NH2_NO_H_H-L2_216_CHO_H_H-HCB_A-AA,1.685,0.1734167
T3_303_NH2_CH3_H_H-L2_215_CHO_H_H-HCB_A-AA,2.115,0.1684004979
T3_303_NH2_NO_H_H-L2_202_CHO_H_H-HCB_A-AA,1.547,0.0720691517
T3_303_NH2_OH_H_H-L2_204_CHO-HCB_A-AA,1.092,0.1179064947
