cifname,value1,value2
T3_303_NH2_Cl_H_H-L2_210_CHO_H_H-HCB_A-AA,4.5390625,21.92246
T3_303_NH2_Cl_H_H-L2_211_CHO_H_H-HCB_A-AA,3.55078125,19.36089
T3_303_NH2_Cl_H_H-L2_212_CHO_H_H-HCB_A-AA,3.30859375,28.12651
T3_303_NH2_Cl_H_H-L2_213_CHO_H_H-HCB_A-AA,4.62109375,26.58100
T3_303_NH2_Cl_H_H-L2_214_CHO_H_H-HCB_A-AA,4.97265625,21.94859
T3_303_NH2_Cl_H_H-L2_215_CHO_H_H-HCB_A-AA,3.892578125,21.94859
T3_303_NH2_Cl_H_H-L2_216_CHO_H_H-HCB_A-AA,2.166015625,21.92246
T3_303_NH2_Cl_H_H-L2_217_CHO_H_H-HCB_A-AA,4.3671875,28.30788
T3_303_NH2_EPO_H_H-L2_201_CHO_H_H-HCB_A-AA,3.390625,29.51551
T3_303_NH2_EPO_H_H-L2_202_CHO_H_H-HCB_A-AA,5.0390625,21.69256
T3_303_NH2_EPO_H_H-L2_203_CHO_H_H-HCB_A-AA,5.06640625,29.38357
T3_303_NH2_EPO_H_H-L2_204_CHO-HCB_A-AA,3.27734375,15.51493
T3_303_NH2_EPO_H_H-L2_205_CHO_H_H-HCB_A-AA,5.6796875,25.30078
T3_303_NH2_EPO_H_H-L2_206_CHO_H_H-HCB_A-AA,4.3203125,25.15390
T3_303_NH2_EPO_H_H-L2_207_CHO_H_H-HCB_A-AA,4.5234375,29.38357
T3_303_NH2_EPO_H_H-L2_208_CHO_H_H-HCB_A-AA,4.7265625,29.38357
T3_303_NH2_EPO_H_H-L2_209_CHO_H_H-HCB_A-AA,4.26171875,28.16644
T3_303_NH2_EPO_H_H-L2_210_CHO_H_H-HCB_A-AA,5.2109375,21.30979
T3_303_NH2_EPO_H_H-L2_211_CHO_H_H-HCB_A-AA,7.26171875,19.48065
T3_303_NH2_EPO_H_H-L2_212_CHO_H_H-HCB_A-AA,4.35546875,28.21821
T3_303_NH2_EPO_H_H-L2_213_CHO_H_H-HCB_A-AA,5.03125,26.16224
T3_303_NH2_EPO_H_H-L2_214_CHO_H_H-HCB_A-AA,4.47265625,21.37620
T3_303_NH2_EPO_H_H-L2_215_CHO_H_H-HCB_A-AA,2.560546875,21.37619
T3_303_NH2_EPO_H_H-L2_216_CHO_H_H-HCB_A-AA,4.44921875,21.30979
T3_303_NH2_EPO_H_H-L2_217_CHO_H_H-HCB_A-AA,4.41015625,28.39904
T3_303_NH2_F_H_H-L2_201_CHO_H_H-HCB_A-AA,4.14453125,29.62455
T3_303_NH2_F_H_H-L2_202_CHO_H_H-HCB_A-AA,4.6796875,23.11046
T3_303_NH2_F_H_H-L2_203_CHO_H_H-HCB_A-AA,4.35546875,29.58964
T3_303_NH2_F_H_H-L2_204_CHO-HCB_A-AA,2.04296875,17.95221
T3_303_NH2_F_H_H-L2_205_CHO_H_H-HCB_A-AA,4.23828125,25.45503
T3_303_NH2_F_H_H-L2_206_CHO_H_H-HCB_A-AA,2.689453125,25.80354
T3_303_NH2_F_H_H-L2_207_CHO_H_H-HCB_A-AA,4.29296875,29.58964
T3_303_NH2_F_H_H-L2_208_CHO_H_H-HCB_A-AA,5.1796875,29.58964
T3_303_NH2_F_H_H-L2_209_CHO_H_H-HCB_A-AA,4.34375,27.92707
T3_303_NH2_F_H_H-L2_210_CHO_H_H-HCB_A-AA,4.7578125,22.58019
T3_303_NH2_F_H_H-L2_211_CHO_H_H-HCB_A-AA,3.54296875,19.16605
T3_303_NH2_F_H_H-L2_212_CHO_H_H-HCB_A-AA,3.71484375,27.97925
