cifname,Pore_diameters,GCMC吸附
T3_301_NH2_F_H_H-L2_205_CHO_H_H-HCB_A-AA,18.22096,1.733
T3_301_NH2_F_H_H-L2_206_CHO_H_H-HCB_A-AA,18.47056,1.455
T3_301_NH2_F_H_H-L2_207_CHO_H_H-HCB_A-AA,22.21663,1.545
T3_301_NH2_F_H_H-L2_208_CHO_H_H-HCB_A-AA,22.21663,1.666
T3_301_NH2_F_H_H-L2_209_CHO_H_H-HCB_A-AA,20.56711,2.207
T3_301_NH2_F_H_H-L2_210_CHO_H_H-HCB_A-AA,15.26686,1.136
T3_301_NH2_F_H_H-L2_211_CHO_H_H-HCB_A-AA,11.90783,1.293
T3_301_NH2_F_H_H-L2_212_CHO_H_H-HCB_A-AA,20.64158,2.055
T3_301_NH2_F_H_H-L2_213_CHO_H_H-HCB_A-AA,19.08362,1.52
T3_301_NH2_F_H_H-L2_214_CHO_H_H-HCB_A-AA,15.26692,0.96
T3_301_NH2_F_H_H-L2_215_CHO_H_H-HCB_A-AA,15.2669,0.969
T3_301_NH2_F_H_H-L2_216_CHO_H_H-HCB_A-AA,15.26686,1.111
T3_301_NH2_F_H_H-L2_217_CHO_H_H-HCB_A-AA,20.82472,2.257
T3_301_NH2_H_H_H-L2_201_CHO_H_H-HCB_A-AA,22.24812,1.779
T3_301_NH2_H_H_H-L2_202_CHO_H_H-HCB_A-AA,15.79061,1.201
T3_301_NH2_H_H_H-L2_203_CHO_H_H-HCB_A-AA,22.21663,1.808
T3_301_NH2_H_H_H-L2_204_CHO-HCB_A-AA,11.49283,0.581
T3_301_NH2_H_H_H-L2_205_CHO_H_H-HCB_A-AA,18.22096,1.792
T3_301_NH2_H_H_H-L2_206_CHO_H_H-HCB_A-AA,18.47056,1.619
T3_301_NH2_H_H_H-L2_207_CHO_H_H-HCB_A-AA,22.21663,1.56
